Year,Rank,Id,Name,Position,Team,Receptions,Targets,Yards,YPC,Touchdowns,YPG,Fumbles
2002,1,939,Marvin Harrison,WR,IND,143,0,1722,12.0,11,107.6,0
2002,2,1433,Randy Moss,WR,MIN,106,0,1347,12.7,7,84.2,1
2002,3,941,Amani Toomer,WR,NYG,82,0,1343,16.4,8,83.9,0
2002,4,1494,Hines Ward,WR,PIT,112,0,1329,11.9,12,83.1,1
2002,5,2139,Plaxico Burress,WR,PIT,78,0,1325,17.0,7,82.8,2
2002,6,1042,Joe Horn,WR,NO,88,0,1312,14.9,7,82.0,1
2002,7,1757,Torry Holt,WR,STL,91,0,1302,14.3,4,81.4,1
2002,8,1056,Terrell Owens,WR,SF,100,0,1300,13.0,13,92.9,0
2002,9,935,Eric Moulds,WR,BUF,100,0,1292,12.9,10,80.8,1
2002,10,2209,Laveranues Coles,WR,NYJ,89,0,1264,14.2,5,79.0,1
2002,11,1806,Peerless Price,WR,BUF,94,0,1252,13.3,9,78.3,2
2002,12,2557,Koren Robinson,WR,SEA,78,0,1240,15.9,5,77.5,2
2002,13,12,Jerry Rice,WR,OAK,92,0,1211,13.2,7,75.7,1
2002,14,1831,Marty Booker,WR,CHI,97,0,1189,12.3,6,74.3,0
2002,15,2584,Chad Johnson,WR,CIN,69,0,1166,16.9,5,72.9,0
2002,16,924,Keyshawn Johnson,WR,TB,76,0,1088,14.3,5,68.0,0
2002,17,658,Isaac Bruce,WR,STL,79,0,1075,13.6,7,67.2,2
2002,18,1966,Donald Driver,WR,GB,70,0,1064,15.2,9,66.5,1
2002,19,278,Jimmy Smith,WR,JAX,80,0,1027,12.8,7,64.2,0
2002,19,866,Rod Smith,WR,DEN,89,0,1027,11.5,5,64.2,1
2002,21,1263,Derrick Mason,WR,TEN,79,0,1012,12.8,5,72.3,1
2002,22,2563,Rod Gardner,WR,WSH,71,0,1006,14.2,8,62.9,1
2002,23,2581,Quincy Morgan,WR,CLE,56,0,964,17.2,7,60.3,2
2002,24,616,Charlie Garner,RB,OAK,91,0,941,10.3,4,58.8,0
2002,25,16,Tim Brown,WR,OAK,81,0,930,11.5,2,58.1,0
2002,26,751,Joey Galloway,WR,DAL,61,0,908,14.9,6,56.8,1
2002,27,943,Eddie Kennison,WR,KC,53,0,906,17.1,2,56.6,0
2002,28,120,Ed McCaffrey,WR,DEN,69,0,903,13.1,2,56.4,0
2002,29,3542,Jeremy Shockey,TE,NYG,74,0,894,12.1,2,59.6,3
2002,30,420,Troy Brown,WR,NE,97,0,890,9.2,3,63.6,2
2002,31,2211,Darrell Jackson,WR,SEA,62,0,877,14.1,4,67.5,2
2002,32,2622,Steve Smith Sr.,WR,CAR,54,0,872,16.1,3,58.1,1
2002,33,2141,Travis Taylor,WR,BAL,61,0,869,14.2,6,54.3,0
2002,34,388,Curtis Conway,WR,SD,57,0,852,14.9,5,65.5,2
2002,35,2048,Brian Finneran,WR,ATL,56,0,838,15.0,6,52.4,1
2002,36,2579,Todd Heap,TE,BAL,68,0,836,12.3,6,52.3,0
2002,37,1393,David Patten,WR,NE,61,0,824,13.5,5,51.5,0
2002,38,936,Muhsin Muhammad,WR,CAR,63,0,823,13.1,3,58.8,0
2002,39,940,Terry Glenn,WR,GB,56,0,817,14.6,2,54.5,1
2002,40,2167,Todd Pinkston,WR,PHI,60,0,798,13.3,7,53.2,1
2002,41,1231,Tony Gonzalez,TE,KC,63,0,773,12.3,7,48.3,0
2002,41,2097,Derrius Thompson,WR,WSH,53,0,773,14.6,4,48.3,2
2002,43,1924,Tai Streets,WR,SF,72,0,756,10.5,5,47.3,1
2002,44,2600,Chris Chambers,WR,MIA,52,0,734,14.1,3,48.9,1
2002,45,3591,Antonio Bryant,WR,DAL,44,0,733,16.7,6,45.8,2
2002,46,2578,Reggie Wayne,WR,IND,49,0,716,14.6,4,44.8,2
2002,47,1784,Kevin Johnson,WR,CLE,67,0,703,10.5,4,43.9,0
2002,48,1541,Corey Bradford,WR,HOU,45,0,697,15.5,6,43.6,0
2002,49,796,Wayne Chrebet,WR,NYJ,51,0,691,13.5,9,46.1,2
2002,50,1824,D'Wayne Bates,WR,MIN,50,0,689,13.8,4,49.2,1
2002,51,2178,Jerry Porter,WR,OAK,51,0,688,13.5,9,43.0,0
2002,52,91,Shannon Sharpe,TE,DEN,61,0,686,11.2,3,52.8,0
2002,53,1306,Priest Holmes,RB,KC,70,0,672,9.6,3,48.0,0
